essay_name,essay,words,chars,is_gpt
human_1.txt,"The protagonist Yossarian in Joseph Heller's Catch-22 has a variety of unique character traits not typical of a stereotypical hero. He takes a variety of actions that separate him from the characters around him. Yossarian’s ideals and motivations are unique in that he only cares about his own survival. Yossarian is also an outsider due to his willingness for insubordination, ideals, and unique name, and as a result many in his squadron treat him differently.  However, he undergoes a change towards the end of the novel.	Yossarian’s actions can be considered unheroic. He does not risk his life for America’s cause and sometimes resorts to deception in the name of self preservation. Unlike Havemeyer, who “never takes evasive action” and is thus the most accurate bombardier in the squadron, Yossarian does take evasive action. “[Yossarian] had decided to live forever or die in the attempt, and his only mission each time he went up was to come down alive” (19). He does not care about the mission, only his own life, whereas a conventional heroic figure would be willing to sacrifice himself for everyone else. In order to avoid a dangerous bombing raid to Bologna, he “knocked on wood, crossed his fingers, and tiptoed out of his tent to move the bomb line up over Bologna” (90) in the middle of the night. This shows how he is willing to deceive others and not consider the repercussions of his actions. This one in particular led to the death of Major Decoverly. In the opening scene of the novel, Yossarian is shown to be faking illness in order to be excused from combat: “Yossarian was in the hospital with a pain in his liver…. The pain in his liver had gone away, but Yossarian didn't say anything and the doctors never suspected” (2). Yossarian consciously makes the decision to lie to the doctors and waste everyone’s time even though he was not actually hurt. Although he is a war hero, he does not act as a reader would expect.	Unlike a typical hero, Yossarian wants to stay alive more than anything. His indefatigable sense of self-preservation can somewhat be justified with the nonsensical bureaucracy of the US Military that obliges soldiers into risking their lives for increasingly illogical reasons. For example, each time the pilots come close to fulfilling the combat mission requirement, it is increased by Colonel Cathcart. “Colonel Cathcart was overjoyed, for he was relieved of the embarrassing commitment to bomb Bologna without blemish to the reputation for valor he had earned by volunteering his men to do it” (pg). In order to augment their own reputations, colonels and generals volunteer their men in the most dangerous missions. This quote also reveals the absurdity of the Armed Forces’ decision to recognize and reward colonels who do nothing but volunteer their squadrons to fulfill dangerous missions. Yossarian’s motivations are another thing that separates him from the others in the squadron, who already treat him differently for his Assyrian name and think that he is insane.	However, Yossarian does undergo a change. Although he has a strong sense of self-preservation, he still cares deeply for his crew and is deeply affected by the death of the young Snowden. He is constantly reminded of Snowden: “He was wide-awake, and he knew he was a prisoner in one of those sleepless, bedridden nights that would take an eternity to dissolve into dawn. A throbbing chill oozed up his legs. He was cold, and he thought of Snowden.” (336) In the end of the novel, he takes the deal Cathcart offers him and places the squadron over himself. He is offered “go home a big hero if Isay nice things about them to everybody and never criticize them to anyone for making the rest of the men fly more missions.'” (91) He doesn’t take the deal to be sent home a hero and flees.	Yossarian is an antihero. His ideals and actions can be considered cowardly and unheroic. Yossarian wants to stay alive more than anything. He is willing to deceive others to this end, but towards the end he becomes more willing to value the lives of others when he refuses the deal Cathcart offers him.Specific moments where you think the author uses ""dark humour"" and its importance or purpose.Joseph Heller uses dark humor in the novel Catch-22 in order to deal with serious issues such as the horrors of war, the effects of war on individuals, and religion. He sometimes utilizes a lighthearted tone while describing the horrors of war and the fragility of life. When Snowden is seriously wounded in the climax of the novel, Yossarian reaches into the medical kit to find “a cleanly lettered note that said: 'What's good for M & M Enterprises is good for the country. Milo Minderbinder.'” (336) Yossarian’s seemingly imminent death is contrasted with an incident of war profiteering in a humorous but callous manner: “'Why can't you be a fatalist about it the way I am? If I'm destined to unload these lighters at a profit and pick up some Egyptian cotton cheap from Milo, then that's what I'm going to do. And if you're destined to be killed over Bologna, then you're going to be killed, so you might just as well go out and die like a man.” (93) Even religion is dealt with in a lighthearted manner: “Thank God!” Half-Stoat exclaims. “There is no God!” Yossarian exclaims. Heller utilizes dark humor in order to make certain topics more approachable.",916,4451,0
human_2.txt,"Steven Pinker’s “A History of Violence: Edge Master Class 2011” lecture serves the purpose of arguing that violence has been in a period of decline for millennia, and that we are living in the most peaceful period in human history. Pinker presents his argument, provides six periods in which violence declined in chronological order along with possible causes, and then correlates these declines with the rise of several social movements. He ends his lecture with a question-answer period. He fulfills his purpose well, as his connectives and transitions are smooth and with proper variety and vocabulary is varied and not dry or repetitive.  Pinker makes significant use of anecdote, analogy, and statistics to strengthen his argument.	Steven Pinker begins by outlining his argument, that “violence has been in decline over long stretches of time, and we may be living in the most peaceful time in our species' existence.” He debunks Rousseau's conclusion that ""Nothing could be more gentle than man in his primitive state,"" and argues for Hobb’s argument that ""the life of man is solitary, poor, nasty, brutish and short."" He delineates six periods in which violence declined in human history: firstly, the “Pacification Proccess,” with the emergence of centralized government; the “Civilizing Proccess,” with the abolition of judicial torture; the “abolition of the death penalty in Europe”, and the “Aboliton of Slavery.” Pinker then correlates this decrease in violence with several social movements, such as abolitionism, the rise of democracies, and feminism, concluding ithat "" He ends his lecture with a question-answer period and “calls for a rehabilitation of a concept of modernity and progress, and for a sense of gratitude for the institutions of civilization and enlightenment that have made it possible.”	He presents his argument well. His connectives and transitions are seamless. He uses vocabulary such as This is evidenced and? To what end?	Pinker makes significant use of devices such as anecdote, analogy, and statistics to strengthen his argument. He strengthens nearly every statement he makes with a statistic, such as one for the sudden drop of homicide in Europe, homicides in England, and genocides in the 20th century, for a total of 42 graphs. He provides statistics from homicide and judicial torture, all the way to child spanking and animal cruelty. Pinker provides a multitude of analogies to assist the reader. In informing the reader of what mindsets promote violence, he says, “There are studies showing that violence is more common when people are confined to one pecking order… if I do something stupid when I'm driving, and someone gives me the finger and calls me an asshole, it's not the end of the world: I think to myself, I’m a tenured professor at Harvard.”	Pinker argues that violence has been in decline _______, and the 20th century was not the most violent century in history. He begins by outlining his argument, that “violence has been in decline over long stretches of time, and [that] we may be living in the most peaceful time in our species' existence,” thereby debunking Rousseau and arguing for Hobbs. Pinker presents his argument well. His connectives and transitions are seamless. Pinker makes significant use of devices such as anecdote, analogy, and statistics to strengthen his argument,. Using a variety of strategies, a strong structure, and flawless transitions, Pinker argues that the 20th century is the most peaceful in human history, concluding with “a sense of gratitude for the institutions of civilization and enlightenment that have made it possible.”",577,3049,0
human_3.txt,"In the play “Death of a Salesman”, the four main characters all have differing motivations. Willy Loman wants to be successful and well liked. His sons, Biff and Happy, both want to be like their father and be successful, but both are considered to be failures by their father. Linda Loman, the mother, is the stable foundation of the family. These four central characters all have different linked motivations, which are the key driving force in their conflict, and in the story. Willy Loman, the delusional father of the family, just wants to become successful by following the American Dream. He believes that his success is tied to his likeability, which he extends to his family. He created a facade of success to his wife and children, with his favorite mantra, “The jungle is dark, but full of diamonds”. He cannot understand that he is a literal failure, which negatively impacts his mental health, causing him to have flashbacks to his past. He is so desperate to succeed with his “Willyness”, that he cannot recognize his slanted view of the world. Ultimately, he accepts his failure, and commits suicide, and thereby helping one of his sons start the American Dream with his inheritance. Biff Loman is the 34 year old son of Willy Loman. He is seen by his father as a failure and an underachiever. However, Biff’s underachievement only occurred due to his father, when he discovered Willy with a mistress when he was in school, thus breaking his belief in his father and causing him to lose faith in school and in Willy’s ambitions for him. Unlike his younger sibling Happy, Biff is unwilling to believe his father's facade of success. He wishes to leave to the wild west, to work with his own hands to achieve his own success, as revealed in his conversation with Happy: “Sure, maybe we could buy a ranch. Raise cattle, use our muscles. Men built like we are should be working out in the open.” Biff just wants to leave and strike it out on his own.Happy Loman is the 32 year old younger brother to Biff. Unlike his brother, he is fully willing to accept his father's facade. He ends up fully believing in his father, which causes him to lack any ability to escape from Willy’s vision. Happy embodies the worst parts of Willy, happily and completely believing in the American Dream while sharing Willy’s skill in deceiving himself. Unfortunately, Happy is completely doomed to Willy’s failures, as demonstrated when he makes a vow to go to New York to follow in his father’s footsteps. Linda Loman, the mother in the family, shares aspects from every member of the family. She shares some of the self delusion from Happy and Willy, but she is also able to break away from her husband's delusions of success.She just wants the family to be successful, by carrying out the traditional gender roles. At the start of the play, as Willy appears distressed, she takes off his coat and shoes for him, thereby easing his burden. In conclusion, Death of a Salesman’s four central characters all feature linked motivations. Willy is the center of the link, causing Biff to want to go out on his own, while Happy wants to follow in his father's failed footsteps. Linda tries to be supportive among the mess, but Willy’s facade of success disallows him from accepting her support. Ultimately, Willy’s suicide lifts the family from many burdens. ",581,2765,0
human_4.txt,"In the novel A Portrait of the Artist as a Young Man by James Joyce, main character Stephen rebels against his Irish identity. He rebels against the influence of Catholic religion, irish identity, and questions what it means to be Irish. Joyce’s novel follows the development of Stephen Dadalus’s identity by highlighting his development as an artist and his experiences growing up in a devoutly religious Catholic family.  First, Stephen questions his Irish identity and nationality. Specifically, the role that the Catholic church has in politics when it conflicts with the interest of the Irish people. Stephan hears: “Nobody is saying a word against them, said Mr Dedalus, so long as they don’t meddle in politics.—The bishops and priests of Ireland have spoken, said Dante, and they must be obeyed.—Let them leave politics alone, said Mr Casey, or the people may leave their church alone.” (20) Stephen watches in bewilderment as the adults around him argue about core parts of Irish identity. The conflict between Irish patriotism and the Catholic Church, both core aspects of being Irish, confuses Stephen, causing him to question his core identity as an Irish person. Secondly, Stephen questions his catholic religion,causing him to flip flop between a religious fanatic, and constantly going against his religion. Joyce writes: “He wanted to sin with another of his kind, to force another being to sin with him and to exult with her in sin.” (67) On the other hand, Stephen becomes a devout cathiolic after hearing a sermon by Father Arnall. “He flung the blankets from him madly to free his face and neck. That was his hell. God had allowed him to see the hell reserved for his sins: stinking, bestial, malignant, a hell of lecherous goatish fiends. For him! For him!” (91) Arnell’s sermon fills him with guilt, turning him into a model catholic. Stephen flip flops between sin and devotion, causing him to question his religion, eventually causing him to find a middle ground between the two. In conclusion, Stephen’s upbringing in Ireland with the strict rules of the Catholic Church causes him to question his identity, eventually creating and shaping his own unique ideas as an artist.    Other than the Parnell Christmas dinner incident, identify one major incident that affects Stephen emotionally in Chapter 1. How does it change him? Why?Stephen is pushed into a cesspool and is sent to the infirmary. He comes to terms with his last name, after another person in the infirmary sympathises with him. ",420,2099,0
human_5.txt,"Fashion is a puzzling topic. Fashion appeals to certain teens for a multitude of reasons. The most common is a sense of exclusivity. People like to feel unique, and the purchase of an expensive limited-run jacket allows them to feel that. Others view their appearance as an extension of themselves and will attempt to use clothing to reflect that. Finally, peer pressure is an important part of why fashion is an important part of certain teen’s identities. Teenagers like to mimic their peers, allowing them to feel like they fit in to a certain group.A sense of exclusivity is the main reason why some teenagers purchase clothing. The possestion of limited-run shirts, jackets, and hoodies allows one to feel special despite deficiencies in other areas. By dressing similar to their peers, a teenager may be able to feel more of a sense of belonging. By mirroring others, an adolescent can mirror their close friends. A good-looking piece of clothing may also allow one to feel more confident. Adoseclents preoccupied with their appearance also see their clothing as a reflection of their identities. One may dress a certain way to give off a certain impression. A teenager going to a job interview will dress differently than a teenager going to school. Someone may choose a certain article of clothing in order to express a certain emotion. A brand’s clothing can be purchased in order to link the brand’s image of affluence with the wearer.The effects of this inane preoccupation on one’s personal appearance can be felt in environmental damage and in the economies of developing countries across the world. The extremely lucrative industry of “fast fashion” encourages consumerism and motivates consumers to constantly purchase new clothing to keep up with the latest trends, resulting in enormous waste as the clothing no longer socially relevant is eventually thrown away, causing water pollution. Cheap materials like Nylon requires enormous amounts of water and is hard to break down. The low margins of fast fashion encourages companies to push down wages and cut corners.An individual can express their identity, affluence, and self-esteem through their clothing. Thus, it is understandable why the fast fashion industry has continued to exist and expand despite it’s severe impacts on both the environment and the economy.",377,1959,0
human_6.txt,"Pi’s journaling is a commentary on the need for communication. Without human interaction, humans will eventually lose the will to live. His journal gives him a chance to communicate his emotion, and keep a clear mind. The journal is not a full substitute for human communication. He loses the will to live even with the journal, which is only solved by the short meeting with the frenchman. The diary is important to him, and a combination of starvation and running out of ink - which means no more journaling -  causes him to lose the will to live.	Pi’s diary describes his daily activities, and served many other functions. Journaling was not only a “restful activity” for him, it also allowed him to forget”even the very notion of time.” 	Pi’s diary not only chronicles his daily activities, it also provides a way for him to communicate his emotions. It allowed for him to keep a clear mind, as evidenced by the fact that he sunk into a deep depression after running out of ink. The last entry in his journal is “Today I die. I will die today. I die.” Without the diary to keep his mind clear, he becomes depressed. This depression, one could argue, leads him to hallucinatory behaviour. He hallucinates interactions, both with the Frenchman, and with Richard Parker. This demonstrates that, at a base level, the thing that all humans need is companionship and interaction.  The diary, though it may help him pass the time, is not a full substitute for human interaction.	Pi’s depression is cured suddenly by the meeting with the frenchman. After a short conversation, the first conversation he had in months, he becomes motivated to continue to survive. Although Pi is disgusted by the Frenchman, and the result of the altercation is the violent death of the Frenchman, Pi is roused by the incident. Rather than resign to his fate, he scavenges the Frenchman’s lifeboat for food, and catches a fish.	Pi’s journal says something about the human need for communication. It proves that without communication, humans will go insane. A combination of a lack of paper for his journal and starvation caused Pi to believe that he will die. However, after meeting the Frenchman, he snaps out of it and survives. Without the journal or Richard Parker, Pi “would die of hopelessness.”",390,1889,0
human_7.txt,"Suicide has become an increasing problem in the past two decades. Suicide rates have climbed dramatically since the early 2000s, a study by the CDC shows. Although teenage suicides make up a relatively tiny proportion of suicides, it is still important to find out the factors involved. Suicide victims often have a mental illness, a family history of suicide, have a history of substance abuse, or have shown impulsive or aggressive behaviour. The common causes of suicide include depression or trauma after a traumatic event, cyber or in-person bullying, or social rejection and isolation.The background of suicide victims often share similar characteristics. They may suffer from a mental illness, such as anxiety, social anxiety, or depression. Other psychiatric illnesses such as mood disorders, eating disorders, or schizophrenia may also put one at greater risk. The effect of alcohol or other drugs also cannot be ignored; up to one in three suicide victims have had a history of substance abuse. Impulsive or aggressive teens may also be put at a higher risk due to the fact that they may lash out in an unsafe manner towards themselves or others if not given a safe outlet. Finally, many adolescent teens whoCommon causes are multifaceted and varied. A common cause is the aforementioned mental or physiatric illnesses. A schizophrenic person may have audiovisual hallucinations that drive them towards suicide even though they themselves may not seek it. Dysphoria, mood disorders, or eating disorders may cause an adolescent to have low self-esteem. Clinical depression is another factor. Cyberbullying and regular bullying may result in suicidal thoughts. Teens who have been cyberbullied are up to three times more likely to attempt suicide, a study by the NIH reveals.Methods of addressing these factors exist. Better access to therapy and mental health professionals may mitigate the risk factor of teens with mental or physiatric illness. “Suicide is a common risk factor that pertains to nearly all CODs and particularly those involving addiction and MDD, bipolar disorder, schizophrenia, PTSD, or PDs,” the study “Substance Use Disorder Treatment for People With Co-Occurring Disorders, (Yuodelis-Flores & Ries, 2015)“ says.  Awareness surrounding the effects of controlled substances may mitigate the risk of many such disorders. Factors leading up to cyberbullying should also be researched and resolved.In conclusion, the factors and causes involved in suicide are wide, multifaced, and complicated and the topic of suicide cannot be adequately given attention to an essay of 300 words. Victims often suffer from a variety of problems. Factors can range from dysphoria to depression to social isolation to cyberbullying.",425,2318,0
human_8.txt,"David Sedaris utilizes various techniques in order to present himself as a unique person and writer in his humorous collection of essays Me Talk Pretty One Day. Sedaris shows that he values individuality through the various interactions with teachers and the education system he places focus on. His writing is teeming with deeply sardonic comments, revealing his deadpan sense of humour. Finally, Sedaris chooses to focus on events such as his brief period with Mrs. Samson and his efforts to learn French, revealing his early fascination with language. Sedaris presents himself as an individual who has had a strong sense of individuality from a young age. An example of Sedaris’s contempt towards authority is his first essay, “Me Talk Pretty One Day.” When asked to see the speech therapist, his first inclination is that he has done something wrong, quickly thinking of “a list of recent crimes, looking for a conviction that might stick” (1). Sedaris communicates that he has never been able to fit in. “We knocked ourselves out trying to fit in but were ultimately betrayed by our tongues” (4), he says. Not only is he separated from his peers by virtue of his sexuality and his lisp, he also seperates himself from others through his own inflated ego. “It occurred to me that, with the exception of the guitar, [Mr. Mancini] and I actually had quite a bit in common. We were each a man trapped inside a boy's body” (10). He sees himself as an adult, rather than a child. It is evident from his work that Sedaris has a strong sense of individuality.(2nd paragraph)David Sedaris’s fascination with language is evident from the very beginning, with his essay “Me Talk Pretty One Day.” After struggling through speech therapy as a child, he accidently discovers the creativity that can be had in language: “tried to avoid an s sound whenever possible. ""Yes,"" became ""correct,"" or a military ""affirmative."" ""Please,"" became ""with your kind permission,"" and questions were pleaded rather than asked.” This event foreshadows his efforts to pursue fluency in French later in life.It is evident that Sedaris is a unique person and writer. He values individuality ",361,1802,0
human_9.txt,"Miller uses his own experiences to inform his views in his TED talk “What really matters at the end of life?”. Using his own experiences as a patient and a doctor, Miller informs the audience that a patient’s priorities change when they are near death. When they are near their expiration date, patients tend to become irrational, as proven by Miller’s anecdotes. He uses anecdotes from a palliative care facility he runs in order to contrast its superiority in the welfare of the soon to be deceased. He then uses his own experience with the American healthcare system in order to highlight it’s deficiencies and the attitudes of a patient. Miller uses his own experiences as a patient to influence his views. He references his experience as a burn patient wearing a nurse smuggled a snowball for him. After a poor life decision at a Sophomore Thanksgiving party, Miller becomes a long term burn patient in the American healthcare system. He describes an instance where a nurse gave him a snowball on a snowy day. As a bedridden patient who could not leave his windowless room, this type of friendliness was incredibly meaningful. This anecdote serves as an example of what the American healthcare system lacks, what usually becomes “a stolen moment,” and is a core part of what informs Miller’s views on palliative care.The speaker’s own experiences are the reason for his knowledge of the needs of dying patients. While “everyone who goes into healthcare really means well,” the healthcare system ultimately “does not serve.” Hospitals “are places for acute trauma and treatable illness.” “They are no place to live and die; that’s not what they were designed for.” Without his experience as a long term burn patient, he would not have these views on palliative care.Finally, Miller uses his experience with his patients to inform his views on the shifted perspectives of those nearing their best-before date. He gives examples, like the woman who started smoking “to feel her lungs filled while she [still] has them”. He speaks of Frank, a prostate cancer patient at Zen Hospice, who goes to “raft down the Colorado River” rather than “more chemotherapy coursing through his veins.” These experiences assist in forming his view that the dying and soon to be mortally challenged will prioritize “comfort; feeling unburdened and unburdening to those they love; existential peace; and a sense of wonderment and spirituality” over their own survival.Miller’s perspective on death is affected by a poor life decision and the resulting experience in the healthcare system, and his over thirty years of work in the Zen Hospice Project, a palliative care facility.",439,2222,0
human_10.txt,"Garret Hardin in his article “Lifeboat Ethics: the Case Against Helping the Poor” presents his argument well but does not take into account demographic transition into account while talking  against immigration. Due to the limited “carrying capacity of our land” and environmental degradation, the United States must reject immigrants or the environment will collapse due to the increased load. His depiction of the world outside America and Europe is condescending at best, and his ideas are dangerous in that Harden and others are able to and have used them to support nationalist, isolationism, and racial discrimination. Hardin presents his case well, but his argument is severely flawed.Hardin’s arguments against immigration are based on the false idea that population growth is infinite and grows at a constant rate: “Outside our lifeboat, let us imagine another 210 million people …  who are increasing at a rate of 3.3 percent per year. Put differently, the doubling time for this aggregate population is 21 years.” He does not take into account the Demographic Transition Model, a concept in sociology taught in tenth grade Social Studies. According to the Demographic Transition Model, a nation’s total population growth rate cycles through five stages. In the first stage, birth rates are high and the overwhelming majority of the population is young. As a nation develops and industrializes, fertility rates fall significantly below their replacement rates. Death rates become higher than birth rates. The population grows older and the population declines. Social programs such as pensions may collapse as the workforce retires. 	In order to maintain a workforce of working age that is able to pay taxes, stimulate the economy, and fund social programs such as socialized healthcare and the Candian Pension Plan, many nations, such as Canada, and most of Europe have resorted to accepting immigrants. However, this is still is not a sustainable strategy. As third world countries continue to develop, their workforces will shrink too. Governments that subscribe to Hardin’s ideology will find themselves with a very dire situation: a shrinking population, a shrinking workforce, and a shrinking economy. Albeit for different reasons, Japan is in a similar conundrum. Over 40% of their population is over the age of 65 and this is expected to increase to 60% by 2050.	Hardin’s ideas are not only flawed, they can also be used to justify racial discrimination. His lifeboat analogy is condescending. He portrays the United States as one of the few beacons of safety in the inhospitable ocean that is the rest of the world, and that the rest of the world will stay that way. “ In the ocean outside each lifeboat swim the poor of the world, who would like to get in, or at least to share some of the wealth,” he declares. Hardin’s metaphor is dangerous, it can be and has been used to support racial discrimination and anti-immigrant sentiment. Garret Hardin himself was a nationalist and eugenist, and has been recognized by the Southern Poverty Law Center as a white nationalist. If the United States is a beacon of safety in an inhospitable ocean, why not take pride in your “small safety factor” and it’s ethnicity? If the preservation of the world’s finite resources is of paramount importance, why not restrict women’s reproductive rights?	Garret Harden’s metaphor is fatally flawed despite its solid presentation. His predictions of immigrants exhausting the food supply is unlikely to come to pass. Immigration has even been used by many nations to extend the workforce of their aging populations. Hardin’s lifeboat analogy is dangerous, for it has been used by Hardin and others to use environmental sustainibility to justify racial discrimination and the restriction of women’s repoructive rights. In the past decades, improvements in renewable energy have somewhat mitigated the threat of finite energy. Harden’s ideas should be rejected. Let us all cooperate and commit to  ",642,3355,0
